,movie id,movie title,Release Year,unknown,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,SimilarMovie,count
92,119,Maya Lin: A Strong Clear Vision,1994,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,67
575,1072,"Pyromaniac's Love Story, A",1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,66
88,113,"Horseman on the Roof, The (Hussard sur le toit, Le)",1995,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,67
7,9,Dead Man Walking,1995,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9999999999999998,89
421,557,Farinelli: il castrato,1994,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.9819805060619659,70
541,854,Bad Taste,1987,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.9468641529479986,66
412,534,Traveller,1997,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9467292624062574,54
339,446,Burnt Offerings,1976,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.8660254037844387,121
577,1100,What Happened Was...,1994,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.8528028654224417,74
562,958,To Live (Huozhe),1994,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.8528028654224417,64
417,548,"NeverEnding Story III, The",1994,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.8091547798786779,92
435,594,Heavy,1995,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.7559289460184545,64
305,394,Radioland Murders,1994,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6933752452815363,56
102,130,Kansas City,1996,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6839061884675603,95
285,344,"Apostle, The",1997,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.6279174757129099,65
321,416,Old Yeller,1957,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.6242356437186911,73
484,689,"Jackal, The",1997,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.6145555885585705,155
563,968,"Inspector General, The",1949,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.6123724356957946,75
463,653,Touch of Evil,1958,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0.6022213590550771,147
183,214,Pink Floyd - The Wall,1982,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0.5874396515529844,212
457,646,Once Upon a Time in the West,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.571262658391602,70
386,503,"Candidate, The",1972,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.570747858359858,122
488,698,"Browning Version, The",1994,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5345224838248487,102
286,345,Deconstructing Harry,1997,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.527147622004136,126
405,524,"Great Dictator, The",1940,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5140471049370251,73
268,320,Paradise Lost: The Child Murders at Robin Hood Hills,1996,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5085774536813069,169
461,650,"Seventh Seal, The (Sjunde inseglet, Det)",1957,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5062150992232656,171
282,341,Critical Care,1997,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,52
433,587,"Hour of the Pig, The",1993,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.49507377148833714,202
422,558,Heavenly Creatures,1994,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0.491848802753297,137
366,481,"Apartment, The",1960,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.4910830538826201,128
309,401,"Brady Bunch Movie, The",1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.488807653369944,170
